OTU_ID,taxonomy
OTU_917,k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Unassigned.Spirochaetaceae; s__Unassigned.Spirochaetaceae
OTU_282,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Unassigned.Gemmatimonadaceae; s__Unassigned.Gemmatimonadaceae
OTU_1018,k__Bacteria; p__Fibrobacteres; c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacteraceae; g__Unassigned.Fibrobacteraceae; s__Unassigned.Fibrobacteraceae
OTU_156,k__Bacteria; p__Fibrobacteres; c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacteraceae; g__Unassigned.Fibrobacteraceae; s__Unassigned.Fibrobacteraceae
OTU_966,k__Bacteria; p__Fibrobacteres; c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacteraceae; g__Unassigned.Fibrobacteraceae; s__Unassigned.Fibrobacteraceae
OTU_621,k__Bacteria; p__Gemmatimonadetes; c__Longimicrobia; o__Longimicrobiales; f__Longimicrobiaceae; g__Unassigned.Longimicrobiaceae; s__Unassigned.Longimicrobiaceae
OTU_847,k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__CL500-3; s__Unassigned.CL500-3
OTU_945,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Unassigned.Planctomycetacia; f__Unassigned.Planctomycetacia; g__Unassigned.Planctomycetacia; s__Unassigned.Planctomycetacia
OTU_285,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Gemmatales; f__Gemmataceae; g__Unassigned.Gemmataceae; s__Unassigned.Gemmataceae
OTU_235,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Schlesneriaceae; g__Schlesneria; s__Unassigned.Schlesneria
OTU_789,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Unassigned.Planctomycetales; g__Unassigned.Planctomycetales; s__Unassigned.Planctomycetales
OTU_91,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Rubinisphaeraceae; g__SH-PL14; s__Unassigned.SH-PL14
OTU_510,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Schlesneriaceae; g__Planctopirus; s__Unassigned.Planctopirus
OTU_584,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Pirellulales; f__Pirellulaceae; g__Pirellula; s__Unassigned.Pirellula
OTU_697,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Pirellulales; f__Pirellulaceae; g__Unassigned.Pirellulaceae; s__Unassigned.Pirellulaceae
OTU_579,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Pirellulales; f__Pirellulaceae; g__Pir4 lineage; s__Unassigned.Pir4 lineage
OTU_402,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Pirellulales; f__Pirellulaceae; g__Pir4 lineage; s__Unassigned.Pir4 lineage
OTU_248,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Pirellulales; f__Pirellulaceae; g__Pir4 lineage; s__Unassigned.Pir4 lineage
OTU_723,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Pirellulales; f__Pirellulaceae; g__Unassigned.Pirellulaceae; s__Unassigned.Pirellulaceae
OTU_289,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Pirellulales; f__Pirellulaceae; g__Unassigned.Pirellulaceae; s__Unassigned.Pirellulaceae
OTU_793,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Pirellulales; f__Pirellulaceae; g__Unassigned.Pirellulaceae; s__Unassigned.Pirellulaceae
OTU_303,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Pirellulales; f__Pirellulaceae; g__Unassigned.Pirellulaceae; s__Unassigned.Pirellulaceae
OTU_116,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Pirellulales; f__Pirellulaceae; g__Rhodopirellula; s__Unassigned.Rhodopirellula
OTU_258,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Pirellulales; f__Pirellulaceae; g__Pirellula; s__Unassigned.Pirellula
OTU_157,k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Pirellulales; f__Pirellulaceae; g__Pirellula; s__Unassigned.Pirellula
